"participant","first","difficulty","set","1-total-reversed","2-total-reversed","3-total-reversed","4-total-reversed","5-total-reversed","6-total-reversed","7-total-reversed","8-total-reversed","9-total-reversed","10-total-reversed","11-total-reversed","12-total-reversed","1-partial-reversed","2-partial-reversed","3-partial-reversed","4-partial-reversed","5-partial-reversed","6-partial-reversed","7-partial-reversed","8-partial-reversed","9-partial-reversed","10-partial-reversed","11-partial-reversed","12-partial-reversed","1-partial-nonreversed","2-partial-nonreversed","3-partial-nonreversed","4-partial-nonreversed","5-partial-nonreversed","6-partial-nonreversed","7-partial-nonreversed","8-partial-nonreversed","9-partial-nonreversed","10-partial-nonreversed","11-partial-nonreversed","12-partial-nonreversed"
"56b8de29e1d0a200051517f8","first-partial","easy",4,0.375,0.875,0.625,1,1,1,0.375,1,0.75,1,0.875,0.875,0.5,0.25,1,1,1,1,0,0,0.75,0.75,1,1,0.5,0.75,0.5,1,1,1,0.75,1,0.75,0.75,1,1
"57a78015454e5400015f57ec","first-partial","easy",2,0,0.625,0.75,0.75,0.75,0.75,0.375,0.5,0.625,0.375,0.625,0.625,0.25,0.75,1,0.75,0.5,1,0.25,1,0.75,0.75,1,1,0.75,0.5,0.75,0.25,0.5,0.5,0.333333333333333,0.75,0.5,0.25,0.75,1
"59ae8d282a78fd00010b80e7","first-total","easy",7,0.875,0.75,0.875,0.875,0.875,0.875,0.625,0.625,0.5,1,0.875,0.75,0.5,0.75,1,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.25,0.25,0.75,1,0.5,0.75,0.75,0.75,0.25,0.5,0.75,1,1,0.75
"59ccd702faf42e00012b68f5","first-partial","easy",3,0.625,1,1,0.75,1,1,0.5,1,0.875,0.75,0.875,0.875,0.5,1,1,1,0.75,0.75,0,1,1,1,0.75,1,0.75,1,1,1,1,1,1,1,1,1,1,1
"5c3d5129a9bfb4000168e299","first-total","easy",1,0.285714285714286,0.75,0.625,0.875,0.714285714285714,0.75,0.25,0.5,0.75,0.875,1,0.75,0.75,1,1,0.75,0.5,1,0.5,1,0.75,0.75,0.75,1,1,1,0.25,1,0.75,0.75,0.25,0.75,0.75,1,1,0.75
"5c4d8d706b23ab0001a34af2","first-total","easy",8,0.5,0.625,0.75,0.75,0.5,0.625,0.625,0.25,0.5,0.625,0.875,0.875,0.5,0.75,0.75,0.75,0.25,0.75,0,0.75,0.75,0.75,0.75,0.5,1,0.5,1,1,1,1,1,1,1,0.75,1,1
"5c4f5967aac8be0001716a65","first-partial","easy",4,0.625,1,1,1,0.875,0.875,0.375,1,0.875,0.875,0.875,0.75,0.75,1,1,1,1,1,0,0.25,0.75,0.75,0.75,1,0.75,1,1,1,1,1,0.75,1,1,1,1,0.75
"5ce9b0e4be5a6b00163f6870","first-partial","easy",3,0.75,0.625,0.875,0.75,0.875,0.75,0.375,0.125,0.75,0.5,0.5,0.875,0.25,1,0.25,1,0.75,0.75,0.25,0,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0,0.75,0.75,0.25,0.5,0.25,0.5,0.75
"5d49d17b3dad1f0001e2aba1","first-total","easy",5,0.25,0.625,0.375,0.875,0.875,0.75,0.375,0.75,1,0.875,0.75,1,0.5,1,1,1,0.75,1,0,0.75,1,1,1,1,0.75,0.75,0.75,1,1,1,0.25,0.5,1,1,1,0.75
"5d6ad36076cca6001a66d89e","first-total","easy",2,0.428571428571429,0.875,0.5,0.25,0.625,0.875,0.25,1,0.875,0.875,1,1,0.5,0.5,1,0.75,1,1,0.75,1,1,0.75,1,1,1,0.75,0.75,1,1,1,0.5,1,1,1,1,1
"5d8cb1c93a7d5c00196eae92","first-total","easy",4,0.571428571428571,0.5,0.875,0.875,0.625,0.875,0.5,0.75,0.75,0.875,0.75,0.857142857142857,1,1,0.75,1,1,1,0.5,1,0.75,0.75,1,1,0.5,0.5,0.75,0.5,0.75,1,0.25,0.5,1,1,1,0.75
"5d8cef3c28e183001a335ab0","first-partial","easy",8,0.625,0.5,0.75,1,1,1,0.75,1,0.875,1,0.875,1,0.5,0.5,0.75,1,1,0.75,0.25,0.25,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.25,0.5,1,0.25,0.5,0.75,0.75,1
"5e63e24eaf3bd51660031dbe","first-total","easy",5,0.625,0.875,1,0.875,1,1,0.625,1,1,0.875,0.875,1,1,0.75,1,1,0.75,0.75,0.5,1,0.75,0,0.5,0.75,0.75,1,1,0.5,0.75,1,0.5,0.75,0.75,1,1,1
"5ee683596f9b570626faa11c","first-partial","easy",1,0.375,0.5,1,0.875,1,1,0.75,1,0.875,1,1,1,0.75,0.5,0.5,0.5,0.75,0.75,0.75,1,1,1,1,1,0.25,0.75,0.75,0.5,0.75,0.75,0.75,1,0.75,1,1,1
"5f0788c06b220f03231666a0","first-total","easy",7,0.75,0.625,0.875,0.75,0.75,0.625,0.5,0.625,0.625,0.375,0.625,0.625,0.75,1,1,0.75,1,0.75,0.5,1,0.75,1,1,0.75,0.75,0.75,1,1,0.75,1,0.5,0.5,0.75,1,0.75,1
"60282d2ffedb021342e2df15","first-total","easy",1,0.625,0.75,1,0.875,0.75,0.625,0.625,0.375,1,1,0.75,0.875,0.5,0.75,0,0,0,1,0.25,0.75,0.5,1,1,0.75,1,0.5,0.5,1,1,0.75,1,0.75,0.5,1,1,1
"6047bf2d4d6168063087fe8e","first-partial","easy",2,0.375,0.625,0.875,0.5,0.25,0.5,0.428571428571429,0.625,0.25,0.625,0.428571428571429,0.75,0.5,0.5,0.75,0.75,1,1,0,0,0.5,0.75,1,0.25,0.75,0.75,0.5,0.25,0.5,1,0.75,0.75,1,0.25,1,0.75
"60723c224e9193e5d5fe5712","first-partial","easy",3,0.75,0.875,1,1,1,1,0.75,0.875,0.875,1,0.875,1,0,0.5,0.75,0.75,1,1,0.25,1,1,1,0.75,0.75,0.75,1,1,0.75,0.75,1,0.75,0.75,1,0.75,1,1
"60d2c59451b12e36fb281477","first-partial","easy",5,0.75,0.875,1,1,1,0.875,0.625,1,0.75,0.875,1,0.875,0,0.5,0.5,1,1,1,0.25,0.75,0.75,1,1,1,1,0.5,0.5,1,1,1,0.75,1,1,1,1,1
"60e3b450cc89a0046b21c5bc","first-partial","easy",2,0.625,1,0.875,0.625,0.875,0.875,0.375,0.875,0.875,0.875,0.75,0.875,0.25,1,1,0.5,1,0.25,0.25,0.25,0.75,0.25,0.75,0.5,0.5,0.75,1,0.5,1,1,1,1,0.5,0.75,0.75,1
"629e1422d8de28b42ae1a214","first-partial","easy",1,0.75,0.75,0.875,0.75,1,1,0.625,0.75,0.875,0.75,0.875,0.875,0.75,0.5,0.5,0.25,0.5,0.75,0.25,0.5,0.25,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.75,0.5,0.75,0.25,0.5,0.5,0.5,0
"632222532c12ab0ab7ca00bd","first-partial","easy",8,0.625,0.875,0.875,1,1,1,0.5,1,1,0.875,0.875,0.75,0.75,0.75,1,1,1,1,0,1,0.5,1,0.75,0.75,0.75,0.75,1,0.75,1,1,1,1,1,1,1,0.75
"63614851eba9f853fc9ffb45","first-total","easy",6,0.571428571428571,0.375,0.75,0.625,1,1,0.5,0.625,0.75,0.75,0.875,0.875,0.75,0.75,1,0.75,1,1,0.5,1,0.75,1,0.75,0.75,0.75,0.75,1,1,1,1,0.75,1,1,1,1,0.5
"639f294882a3797f77a3dd81","first-total","easy",6,0.5,0.75,0.75,0.625,1,0.75,0.25,0.625,0.75,1,0.875,0.875,1,1,1,1,1,1,0.25,0.5,1,0.75,1,0.5,1,1,1,1,1,1,0.5,0.75,0.75,0.75,0.75,1
"63ea8ec521931832f4b6b7cb","first-partial","easy",1,0.875,1,1,1,1,1,0.625,1,0.875,1,1,1,0.75,0.5,1,1,1,1,0.5,1,1,1,0.75,1,1,0.75,0.75,1,1,1,1,0.5,1,1,0.5,0.75
"6400d919945d23676a68b781","first-total","easy",4,0.875,1,0.875,1,0.75,0.875,0.375,1,0.75,0.875,1,0.875,0.75,0.75,1,0.75,1,1,0.5,0.75,1,0.5,1,0.75,1,1,1,1,1,1,0.75,0.75,1,1,1,1
"6413603a62c72120012e05be","first-partial","easy",5,0.875,0.875,0.875,0.875,1,1,0.625,0.875,0.75,0.75,0.875,0.875,0.5,0.75,1,1,0.75,1,0.25,0.25,0.75,0.75,1,1,0.25,0.25,0.5,1,1,0.75,0.5,0.75,1,0.75,0.75,1
"646e53ef6c1dac9a13cd2985","first-partial","easy",6,0.75,0.75,0.75,0.875,0.875,0.875,0.5,0.75,0.875,0.75,0.625,0.75,0.25,0.5,1,0.75,1,0.75,0,0.25,0.75,0.75,0.75,1,0.5,0.75,0.5,0.75,0.75,1,0.75,1,0.5,0.75,1,1
"65a54037a9c2c5d66a3601b2","first-total","easy",7,0.875,1,1,1,1,1,0.75,1,1,1,1,0.75,0.5,1,1,1,1,1,0.5,1,0.75,0.75,1,0.75,0.75,0.5,1,1,0.75,1,0.5,0.5,0.75,0.75,0.75,0.75
"65d88c96834862408313a6c4","first-partial","easy",8,0.5,0.75,1,0.875,1,1,0.75,1,0.875,0.75,1,1,1,0.25,0.5,0.5,0.75,0.75,0.75,1,1,1,0.75,0.75,0.333333333333333,0.5,0.75,0.5,0.5,0.5,0.75,1,0.75,1,1,1
"56b8ad1be1d0a2000c154093","first-partial","hard",4,0.375,0.4375,0.6875,0.5,0.5625,0.75,0.625,0.8125,0.4375,0.3125,0.5,0.5625,0.625,0.5,0.5,0.625,0.625,0.375,0.625,0.625,0.375,0.25,0.5,0.5,0.5,0.875,0.625,0.125,0.375,0.5,0.5,0.75,0.75,0.625,0.5,0.625
"58b20a24c352cc0001ed554b","first-total","hard",3,0.5,0.5625,0.375,0.5625,0.5625,0.6875,0.75,0.75,0.3125,0.375,0.625,0.5625,0.5,0.75,0.25,0.25,0.625,0.5,1,0.875,0.5,0.875,0.625,0.75,0.5,0.875,0.875,0.75,0.75,0.875,0.75,0.75,0.75,0.875,1,1
"58c8497430c4cf0001ce9caf","first-total","hard",2,0.533333333333333,0.5625,0.25,0.625,0.375,0.625,0.6875,0.875,0.6875,0.8125,0.75,0.75,0.5,0.75,0.5,0.875,1,0.75,1,1,0.375,0.625,0.625,0.875,0.5,0.875,1,0.75,1,1,1,1,0.5,0.75,0.5,0.875
"5a31373183019b00012f6322","first-total","hard",3,0.4375,0.75,0.4375,0.5625,0.5625,0.625,0.4375,0.8125,0.25,0.4375,0.4375,0.6875,0.875,0.625,0.625,0.875,0.5,0.5,1,0.75,0.25,0.625,0.5,0.5,0.625,0.375,0.5,0.875,0.625,0.375,0.5,0.75,0.75,0.375,0.375,0.625
"5cb20f2d7c917b00172dfef5","first-partial","hard",3,0.75,1,0.9375,1,0.9375,1,1,1,0.75,1,1,1,0.125,0.5,0.625,0.875,1,1,1,1,0,0.625,0.875,1,0.875,0.875,0.75,1,1,1,1,1,0.625,0.875,0.75,0.75
"5cf8cc7e95c070001721db8d","first-total","hard",1,0.8125,0.5625,0.5625,0.75,0.75,1,0.875,0.9375,0.5625,0.9375,0.8125,0.875,0.625,0.75,0.75,0.5,0.875,0.75,1,1,0.375,0.5,0.875,1,0.5,0.625,0.375,0.5,0.75,1,1,0.875,0.75,0.625,1,1
"5d696d1c55742f001af29220","first-total","hard",4,0.5,0.625,0.625,0.5,0.75,0.75,0.8125,1,0.5,0.875,0.9375,0.8125,0.75,0.75,0.75,0.875,1,1,1,0.875,0.625,0.875,1,0.75,0.375,0.75,0.625,0.875,0.875,0.75,0.875,0.875,0.5,0.375,0.625,0.5
"5ec702d5d810c61532066427","first-partial","hard",1,0.75,0.625,0.6875,0.875,0.875,0.9375,0.8125,1,0.625,0.8125,0.875,1,0.5,0.25,0.25,0.625,0.25,0.875,0.75,1,0,0.625,0.875,0.875,0.5,0.625,0.75,0.5,0.375,0.875,0.625,0.75,0.625,0.625,0.875,0.875
"5efea1f363271c3b76d4c9ed","first-total","hard",1,0.6875,0.4375,0.6875,0.625,0.625,0.9375,0.9375,1,0.75,0.8125,0.75,0.8125,0.75,0.5,0.75,0.75,0.875,0.625,0.875,1,0.375,0.5,0.5,0.166666666666667,0.625,0.5,0.875,0.625,0.75,1,1,0.75,0.5,0.25,0.125,0.5
"5f160514e2a4062d2a0ded58","first-total","hard",2,0.5625,0.5625,0.625,0.9375,0.875,0.9375,0.9375,0.9375,0.8125,0.75,1,0.8125,0.75,0.875,0.875,1,0.875,1,0.875,0.875,0.5,0.625,0.5,0.75,0.75,0.5,1,1,1,1,1,0.875,0.5,0.75,0.75,0.625
"5f3ec93efbd299158253f283","first-partial","hard",4,0.5,0.5,0.6875,0.875,0.875,0.9375,0.9375,0.9375,0.625,0.625,0.875,0.875,0.625,0.875,0.625,0.625,0.75,1,0.875,1,0.125,0.5,0.625,1,0.375,0.625,0.75,1,0.875,0.875,0.875,0.875,0.875,0.625,0.75,0.625
"5f75d01a857e4e27a575f7ca","first-partial","hard",4,0.3125,0.5625,0.625,0.75,0.8125,0.8125,0.8125,0.9375,0.4375,0.8125,1,0.8125,0,0.375,0.75,0.5,0.625,0.625,0.75,0.5,0.25,0.625,0.75,0.875,0.625,0.5,0.375,0.375,0.5,0.5,0.625,0.25,0.625,0.625,0.75,0.625
"5fa0803077c8550dcb24237d","first-partial","hard",1,0.4375,0.8125,0.5625,0.8125,0.8125,0.75,0.875,1,0.5625,0.8125,0.875,0.6875,0.875,0.625,0.625,0.375,0.5,0.25,0.5,0.25,0.875,1,0.875,1,0.625,0.75,0.75,0.625,0.625,0.5,0.75,0.75,0.875,1,0.875,0.75
"604d5e61486bd0622d2102c0","first-partial","hard",2,0.5625,0.3125,0.625,0.6875,0.6875,0.8125,0.75,0.75,0.625,0.6875,0.6875,0.5625,0.375,0.625,0.625,0.375,0.375,0.625,0.5,0.75,0.375,0.25,0.125,0.75,0.125,0.75,0.875,0.5,0.5,0.375,0.25,0.375,0.375,0.5,0.5,1
"6128affc7322ddbb3e16dcb3","first-total","hard",3,0.625,0.5625,0.5,0.5,0.625,0.5625,0.8125,0.6875,0.5625,0.375,0.5,0.333333333333333,0.625,0.125,0.5,0.75,0.5,0.875,0.75,0.875,0.125,0.625,0.5,0.25,0.5,0.625,0.625,0.625,0.285714285714286,0.125,0.75,0.75,0.5,0.5,0.833333333333333,0.666666666666667
"612b6389df1f3d38677d06f2","first-partial","hard",1,0.75,0.9375,0.75,0.875,0.8125,0.875,0.9375,1,0.8125,0.9375,0.75,0.8125,0.625,1,0.25,0.375,0.571428571428571,0.5,0.5,0.5,0.375,0.375,0.5,0.375,0.5,0.625,0.375,0.625,0.5,0.428571428571429,0.571428571428571,0.714285714285714,0.625,0.375,0.375,0.5
"632c78dac01ee4ebd60f742c","first-total","hard",4,0.666666666666667,0.8125,0.5625,0.875,0.625,0.9375,0.9375,0.9375,0.6875,0.6875,0.6875,0.625,0.5,0.714285714285714,0,0.333333333333333,0.428571428571429,0.5,0.571428571428571,0.571428571428571,0.625,0.625,0.5,0.5,0.375,0.142857142857143,0.428571428571429,0.5,0.375,0.666666666666667,0.5,0.625,0.75,0.428571428571429,0.375,0.285714285714286
"637fcee60a8378c1c3a65898","first-partial","hard",2,0.4375,1,0.875,1,0.9375,1,1,0.875,0.5,1,0.9375,0.875,0.75,0,0.5,0.5,0.875,0.75,0.875,0.75,0.375,0.875,0.375,1,0.5,0.5,0.375,0.5,0.25,0.5,0.25,0.75,0.375,0.375,0.75,0.625
"63ef938aea545fb9bd19a591","first-total","hard",2,0.4,0.5,0.5625,0.5,0.75,0.4375,0.75,0.8125,0.5,0.75,0.9375,0.8125,0.625,0.625,0.875,1,0.75,0.875,0.875,1,0.375,0.75,0.5,0.875,0.875,0.75,0.375,0.625,0.875,0.75,0.875,0.625,0.75,0.625,0.75,0.875
"64136457f1327294ffb3fef9","first-total","hard",1,0.75,0.6875,0.9375,0.9375,1,1,0.9375,0.9375,0.8125,0.875,0.875,0.9375,0.75,0.875,0.875,1,1,1,1,1,0.75,1,1,1,0.875,0.875,1,1,0.875,0.875,0.875,0.875,0.875,0.875,1,1
"64217d8202361ad4dbed3596","first-partial","hard",4,0.5,0.5625,0.6875,0.6875,0.75,1,0.75,0.6875,0.625,0.6875,0.6875,0.6875,0.625,0.875,0.5,0.875,0.875,1,0.875,0.875,0.25,0.625,0.625,0.5,0.625,0.625,0.5,0.5,0.75,0.875,0.5,0.625,0.625,0.375,0.375,0.625
"644940c6c6b71b43c2f0d552","first-total","hard",2,0.571428571428571,0.5625,0.5,0.5,0.75,0.6875,0.625,0.9375,0.375,0.4375,0.625,0.75,0.375,0.75,0.5,0.875,0.875,1,0.75,1,0,0.375,0.875,0.875,0.75,0.625,1,0.75,0.875,1,1,0.75,0.5,0.625,0.875,1
"652be58c7d5885fc2d4abe9e","first-total","hard",3,0.5625,0.5625,0.6875,0.75,0.4375,0.6875,0.6875,0.5,0.25,0.625,0.5625,0.25,0.25,0.5,0.625,0.75,1,0.75,0.25,0.625,0.125,0.5,0.625,0.875,0.875,0.75,0.625,0.75,0.625,0.5,0.5,0.625,0.75,0.75,1,0.875
"6570824312e21ad0a49858f4","first-total","hard",1,0.5,0.4375,0.6875,0.875,0.75,0.875,0.6875,0.9375,0.6875,1,0.9375,0.875,0.625,0.625,0.625,0.75,1,1,1,1,0.375,0.5,1,1,1,0.625,0.5,0.875,1,1,1,0.875,0.375,0.25,0.875,1
"65cb76b8dd56502a5687bfbd","first-total","hard",3,0.466666666666667,0.75,0.5,0.875,0.8125,0.75,0.6875,0.875,0.375,0.75,0.5,0.875,0.625,0.875,1,1,1,1,1,1,0.375,0.625,0.75,1,0.75,0.75,0.75,1,1,1,0.875,1,0.625,1,1,1
"65d1d2f7bbb5b1ec274b3253","first-total","hard",4,0.6875,0.75,0.5625,0.5625,0.9375,0.75,0.875,0.875,0.625,0.6875,0.8125,0.6875,0.5,0.625,1,1,1,1,0.875,1,0.875,0.875,0.5,0.5,0.75,0.5,0.714285714285714,0.875,1,0.75,1,0.875,0.75,0.5,0.625,0.5
