partId,exemplars,Ex1,Ex2,Ex3,Ex4,Ex5,Ex6,Ex7,Ex8,Ex9,Ex10,Ex11,Ex12,Ex13,Ex14,Ex15,Ex16
parID_1,Ex1,,,,,,,,,,,,,,,,
parID_1,Ex2,4.033144531,,,,,,,,,,,,,,,
parID_1,Ex3,6.503378496,3.493243123,,,,,,,,,,,,,,
parID_1,Ex4,6.025109477,6.503378496,4.489225596,,,,,,,,,,,,,
parID_1,Ex5,2.987855996,4.476899269,6.473794558,7.496895704,,,,,,,,,,,,
parID_1,Ex6,6.476260012,6.98657767,6.996439108,7.459916158,5.985664477,,,,,,,,,,,
parID_1,Ex7,5.961011447,3.969046689,7.018626685,6.491051605,7.657140403,7.003834716,,,,,,,,,,
parID_1,Ex8,5.470416289,3.981373204,5.94868512,6.96685517,6.991508201,5.006939238,5.006939238,,,,,,,,,
parID_1,Ex9,,,,,,,,,,,,,,,,
parID_1,Ex10,,,,,,,,,3.991234266,,,,,,,
parID_1,Ex11,,,,,,,,,5.482742992,3.471055357,,,,,,
parID_1,Ex12,,,,,,,,,6.010317508,4.04300578,5.026661927,,,,,
parID_1,Ex13,,,,,,,,,4.03807525,2.549031976,2.99525198,2.99525198,,,,
parID_1,Ex14,,,,,,,,,4.518809157,7.49443025,6.495982135,6.508308651,3.00511323,,,
parID_1,Ex15,,,,,,,,,3.99863025,4.999543254,7.516617827,5.467951023,2.516983149,5.477812085,,
parID_1,Ex16,,,,,,,,,3.002647965,3.002647965,6.020178946,6.505843573,2.011596022,5.502465116,4.962563708,
parID_2,Ex1,,,,,,,,,,,,,,,,
parID_2,Ex2,1.017578125,,,,,,,,,,,,,,,
parID_2,Ex3,3.00390625,1.50390625,,,,,,,,,,,,,,
parID_2,Ex4,1.498046875,1.498046875,1.005859375,,,,,,,,,,,,,
parID_2,Ex5,1.017578125,4.978515625,1.9609375,4.017578125,,,,,,,,,,,,
parID_2,Ex6,4.990234375,4.955078125,4.55078125,2.505859375,1.01171875,,,,,,,,,,,
parID_2,Ex7,5.95703125,1.01171875,4.4921875,2.4765625,1.94921875,4.984375,,,,,,,,,,
parID_2,Ex8,1,1.4921875,2.517578125,2.95703125,3.94140625,4,2.98046875,,,,,,,,,
parID_2,Ex9,,,,,,,,,,,,,,,,
parID_2,Ex10,,,,,,,,,1.041015625,,,,,,,
parID_2,Ex11,,,,,,,,,5.48828125,1.50390625,,,,,,
parID_2,Ex12,,,,,,,,,4.515625,1.474609375,2.0078125,,,,,
parID_2,Ex13,,,,,,,,,4.99609375,3.96484375,1.029296875,1.01171875,,,,
parID_2,Ex14,,,,,,,,,5.998046875,3.484375,3.455078125,6.00390625,1.568359375,,,
parID_2,Ex15,,,,,,,,,1.052734375,2.95703125,5.494140625,1.474609375,1.017578125,1.474609375,,
parID_2,Ex16,,,,,,,,,2.962890625,1.03515625,2.9453125,5.998046875,1.029296875,4.01171875,1.01171875,
parID_3,Ex1,,,,,,,,,,,,,,,,
parID_3,Ex2,1.001582505,,,,,,,,,,,,,,,
parID_3,Ex3,1.51143655,1.013303321,,,,,,,,,,,,,,
parID_3,Ex4,1.10120928,2.00370937,1.517296958,,,,,,,,,,,,,
parID_3,Ex5,1.030884545,4.465073149,1.013303321,1.487994918,,,,,,,,,,,,
parID_3,Ex6,1.025024137,3.035138113,5.484781237,2.49598219,1.51143655,,,,,,,,,,,
parID_3,Ex7,2.976534033,1.025024137,1.505576142,2.015430186,1.030884545,2.015430186,,,,,,,,,,
parID_3,Ex8,1.019163729,1.025024137,2.449098926,1.505576142,2.507703006,3.005836073,1.060186585,,,,,,,,,
parID_3,Ex9,,,,,,,,,,,,,,,,
parID_3,Ex10,,,,,,,,,1.001582505,,,,,,,
parID_3,Ex11,,,,,,,,,1.030884545,1.013303321,,,,,,
parID_3,Ex12,,,,,,,,,2.02715084,1.013303321,1.001582505,,,,,
parID_3,Ex13,,,,,,,,,2.964813217,1.001582505,1.036744953,1.001582505,,,,
parID_3,Ex14,,,,,,,,,1.007442913,4.470933717,2.501842437,2.027150841,1.036744953,,,
parID_3,Ex15,,,,,,,,,1.001582505,1.007442913,5.47892099,1.030884545,1.007442913,1.030884545,,
parID_3,Ex16,,,,,,,,,1.007442913,1.025024137,4.429911023,1.962686514,1.013303321,1.968547083,1.001582505,
parID_4,Ex1,,,,,,,,,,,,,,,,
parID_4,Ex2,1.216666667,,,,,,,,,,,,,,,
parID_4,Ex3,2.991666667,2.004166667,,,,,,,,,,,,,,
parID_4,Ex4,1.575,1.216666667,1.070833334,,,,,,,,,,,,,
parID_4,Ex5,1.545833333,2.1375,2.0125,3.5125,,,,,,,,,,,,
parID_4,Ex6,2.5125,5.458333333,5.495833334,1.6125,1.129166667,,,,,,,,,,,
parID_4,Ex7,1.495833333,3.979166667,1.0375,2.504166667,2.579166667,4.55,,,,,,,,,,
parID_4,Ex8,2.079166667,1.179166667,2.995833334,2.116666667,1.5125,3,1.275,,,,,,,,,
parID_4,Ex9,,,,,,,,,,,,,,,,
parID_4,Ex10,,,,,,,,,1.05,,,,,,,
parID_4,Ex11,,,,,,,,,4.491666667,1.058333333,,,,,,
parID_4,Ex12,,,,,,,,,2.504166667,1.0875,3.025,,,,,
parID_4,Ex13,,,,,,,,,1.966666667,2.045833334,1.1375,2.020833333,,,,
parID_4,Ex14,,,,,,,,,4.1,2.566666667,4.5625,3.883333334,2.916666667,,,
parID_4,Ex15,,,,,,,,,1.091666667,1.641666667,2.445833334,1.529166667,1.1,1.991666667,,
parID_4,Ex16,,,,,,,,,3.054166667,1.045833334,2.483333334,4.554166667,2.641666667,4.491666667,1.925,
parID_5,Ex1,,,,,,,,,,,,,,,,
parID_5,Ex2,1.029166667,,,,,,,,,,,,,,,
parID_5,Ex3,1.254166667,1.029166667,,,,,,,,,,,,,,
parID_5,Ex4,1.654166667,1.208333334,1.275,,,,,,,,,,,,,
parID_5,Ex5,1.079166667,1.095833333,1.020833334,1.05,,,,,,,,,,,,
parID_5,Ex6,1.804166667,3.579166667,3.333333334,1.595833334,1.05,,,,,,,,,,,
parID_5,Ex7,1.766666667,2.470833333,2.525,2.1875,1.195833333,6.2625,,,,,,,,,,
parID_5,Ex8,1.479166667,1.045833334,1.045833333,1.083333333,1.041666667,1.354166667,1.008333333,,,,,,,,,
parID_5,Ex9,,,,,,,,,,,,,,,,
parID_5,Ex10,,,,,,,,,1.070833334,,,,,,,
parID_5,Ex11,,,,,,,,,1.033333334,1.070833334,,,,,,
parID_5,Ex12,,,,,,,,,1.441666667,1.004166667,1.05,,,,,
parID_5,Ex13,,,,,,,,,1.8625,1.004166667,1.0625,1,,,,
parID_5,Ex14,,,,,,,,,1.058333334,1.9625,1.041666667,1.6875,1.070833334,,,
parID_5,Ex15,,,,,,,,,1.029166667,1.683333334,3.458333334,1.016666667,1.05,1.333333334,,
parID_5,Ex16,,,,,,,,,1.5875,1.008333334,1.041666667,2.195833334,1.216666667,1.070833334,1.016666667,
parID_6,Ex1,,,,,,,,,,,,,,,,
parID_6,Ex2,2.150000096,,,,,,,,,,,,,,,
parID_6,Ex3,6.575000127,4.987499873,,,,,,,,,,,,,,
parID_6,Ex4,4.387500127,7.112499873,3.370833715,,,,,,,,,,,,,
parID_6,Ex5,5.354166667,5.425000191,4.491666794,4.900000255,,,,,,,,,,,,
parID_6,Ex6,2.666666826,9.458333969,5.720833461,5.762500127,4.762500127,,,,,,,,,,,
parID_6,Ex7,3.941666762,2.120833397,3.870833715,3.450000127,4.758333524,3.770833492,,,,,,,,,,
parID_6,Ex8,4.462499937,2.400000096,6.025000254,3.070833524,6.512500128,2.800000191,6.558333715,,,,,,,,,
parID_6,Ex9,,,,,,,,,,,,,,,,
parID_6,Ex10,,,,,,,,,2.020833493,,,,,,,
parID_6,Ex11,,,,,,,,,4.958333334,1.408333461,,,,,,
parID_6,Ex12,,,,,,,,,6.841666858,1.837500096,4.037500064,,,,,
parID_6,Ex13,,,,,,,,,5.145833334,3.733333588,2.758333365,1.979166826,,,,
parID_6,Ex14,,,,,,,,,7.658333461,3.050000032,7.25,4.245833397,6.445833524,,,
parID_6,Ex15,,,,,,,,,1.887500128,3.691666604,4.291666667,3.483333588,2.400000095,3.666666667,,
parID_6,Ex16,,,,,,,,,1.916666667,1.500000159,2.104166667,5.64166673,1.595833302,2.266666731,1.25,
parID_7,Ex1,,,,,,,,,,,,,,,,
parID_7,Ex2,4.304166667,,,,,,,,,,,,,,,
parID_7,Ex3,5.641666667,4.495833334,,,,,,,,,,,,,,
parID_7,Ex4,7.020833333,6.666666667,3.825,,,,,,,,,,,,,
parID_7,Ex5,5.333333334,7.7,5.45,6.8875,,,,,,,,,,,,
parID_7,Ex6,6.004166667,7.2125,6.379166667,7.316666667,4.3375,,,,,,,,,,,
parID_7,Ex7,6.691666667,5.008333334,6.35,7.270833333,7.2875,6.679166667,,,,,,,,,,
parID_7,Ex8,6.145833333,4.783333333,4.879166667,7.195833334,6.408333334,5.304166667,6.225,,,,,,,,,
parID_7,Ex9,,,,,,,,,,,,,,,,
parID_7,Ex10,,,,,,,,,2.075,,,,,,,
parID_7,Ex11,,,,,,,,,5.854166667,2.3375,,,,,,
parID_7,Ex12,,,,,,,,,7.020833334,2.2625,5.85,,,,,
parID_7,Ex13,,,,,,,,,7.533333333,4.183333334,2.120833334,2.429166667,,,,
parID_7,Ex14,,,,,,,,,5.804166667,6.720833333,5.941666667,4.766666667,5.1875,,,
parID_7,Ex15,,,,,,,,,4.616666667,5.775,6.641666667,3.825,2.383333333,6.0125,,
parID_7,Ex16,,,,,,,,,4.4625,1.520833334,3.620833333,6.695833334,2.516666667,5.970833333,2.75,
parID_8,Ex1,,,,,,,,,,,,,,,,
parID_8,Ex2,3.925,,,,,,,,,,,,,,,
parID_8,Ex3,5.008333333,5.079166667,,,,,,,,,,,,,,
parID_8,Ex4,3.941666667,4.904166667,4.0875,,,,,,,,,,,,,
parID_8,Ex5,5.433333334,5.029166667,4.995833334,6.025,,,,,,,,,,,,
parID_8,Ex6,5.508333334,5.091666667,7.1,4.441666667,5.5125,,,,,,,,,,,
parID_8,Ex7,4.520833334,5.008333334,3.941666667,4.504166667,3.991666667,5.0125,,,,,,,,,,
parID_8,Ex8,6.958333334,4.570833334,5.525,4.491666667,5.016666667,6.845833334,5,,,,,,,,,
parID_8,Ex9,,,,,,,,,,,,,,,,
parID_8,Ex10,,,,,,,,,5.0375,,,,,,,
parID_8,Ex11,,,,,,,,,7.0875,5.070833334,,,,,,
parID_8,Ex12,,,,,,,,,6.416666667,5.920833334,6.058333334,,,,,
parID_8,Ex13,,,,,,,,,5.6,6.895833334,3.9375,5.529166667,,,,
parID_8,Ex14,,,,,,,,,6.404166667,5.404166667,6.966666667,7.895833334,5.945833334,,,
parID_8,Ex15,,,,,,,,,4.958333334,4.991666667,5.5625,5.016666667,5.516666667,4.995833334,,
parID_8,Ex16,,,,,,,,,5.975,5.016666667,6.029166667,5.983333334,5.066666667,4.970833334,4.983333333,
parID_9,Ex1,,,,,,,,,,,,,,,,
parID_9,Ex2,2.709375143,,,,,,,,,,,,,,,
parID_9,Ex3,6.690625191,5.334375382,,,,,,,,,,,,,,
parID_9,Ex4,6.943749905,6.978125096,5.012500048,,,,,,,,,,,,,
parID_9,Ex5,5.384375096,7.671875,4.746875286,7.100000382,,,,,,,,,,,,
parID_9,Ex6,7.471875191,9.215625286,7.328125,7.634375572,6.646875143,,,,,,,,,,,
parID_9,Ex7,4.3125,4.659375191,7.190625191,5.440624953,5.450000286,7.046875,,,,,,,,,,
parID_9,Ex8,4.540625096,6.903125286,7.740625381,8.146875382,8.462500095,7.900000096,4.75,,,,,,,,,
parID_9,Ex9,,,,,,,,,,,,,,,,
parID_9,Ex10,,,,,,,,,3.32812512,,,,,,,
parID_9,Ex11,,,,,,,,,7.815625191,2.900000095,,,,,,
parID_9,Ex12,,,,,,,,,8.296875477,6.506250382,6.362500191,,,,,
parID_9,Ex13,,,,,,,,,8.637500286,7.165625572,2.8125,8.740625382,,,,
parID_9,Ex14,,,,,,,,,7.262499809,6.184375048,5.390625,4.96875,3.418750048,,,
parID_9,Ex15,,,,,,,,,3.818749905,4.278125286,7.740625381,3.865625143,1.862500072,5.959374905,,
parID_9,Ex16,,,,,,,,,8.053124905,4.84375,6.524999857,7.743750096,6.096875191,3.500000239,4.393750191,
parID_10,Ex1,,,,,,,,,,,,,,,,
parID_10,Ex2,2.628571429,,,,,,,,,,,,,,,
parID_10,Ex3,8.594285714,4.814285715,,,,,,,,,,,,,,
parID_10,Ex4,2.975714286,4.647142857,5.23,,,,,,,,,,,,,
parID_10,Ex5,2.264285714,4.162857143,2.298571429,7.291428571,,,,,,,,,,,,
parID_10,Ex6,6.412857143,5.311428572,5.542857143,4.857142857,2.504285715,,,,,,,,,,,
parID_10,Ex7,5.045714286,2.264285715,4.951428571,3.828571429,4.87,7.304285715,,,,,,,,,,
parID_10,Ex8,3.61,3.648571429,5.611428572,6.858571429,7.102857143,4.497142857,5.911428571,,,,,,,,,
parID_10,Ex9,,,,,,,,,,,,,,,,
parID_10,Ex10,,,,,,,,,2.958571429,,,,,,,
parID_10,Ex11,,,,,,,,,2.907142857,2.551428572,,,,,,
parID_10,Ex12,,,,,,,,,6.7,5.362857143,4.45,,,,,
parID_10,Ex13,,,,,,,,,6.498571429,3.914285715,1.317142857,3.918571429,,,,
parID_10,Ex14,,,,,,,,,4.042857143,7.552857143,3.717142857,5.607142857,4.017142858,,,
parID_10,Ex15,,,,,,,,,1.99,3.37,7.797142858,2.808571429,1.085714286,2.337142858,,
parID_10,Ex16,,,,,,,,,6.837142858,2.371428572,2.405714286,6.262857143,6.34,2.778571429,1.008571429,
parID_11,Ex1,,,,,,,,,,,,,,,,
parID_11,Ex2,2.609640328,,,,,,,,,,,,,,,
parID_11,Ex3,5.619136849,1.666906673,,,,,,,,,,,,,,
parID_11,Ex4,3.671511029,1.283597241,2.449065064,,,,,,,,,,,,,
parID_11,Ex5,5.03381295,1.304316745,4.769640762,4.039280734,,,,,,,,,,,,
parID_11,Ex6,4.733381532,1.749784291,5.867770101,5.365324216,4.044460906,,,,,,,,,,,
parID_11,Ex7,4.577985849,2.039856155,3.215683533,2.904892363,3.852805993,5.116690569,,,,,,,,,,
parID_11,Ex8,4.66604364,2.485323702,4.868057712,5.049352676,5.101151237,5.37568377,4.816259151,,,,,,,,,
parID_11,Ex9,,,,,,,,,,,,,,,,
parID_11,Ex10,,,,,,,,,1.641007195,,,,,,,
parID_11,Ex11,,,,,,,,,3.117266187,1.133381335,,,,,,
parID_11,Ex12,,,,,,,,,3.262302119,2.930791446,4.780000316,,,,,
parID_11,Ex13,,,,,,,,,1.672086252,1.558129576,1.615107914,3.200144201,,,,
parID_11,Ex14,,,,,,,,,3.485036288,2.469784173,5.613956677,4.702302475,2.428345561,,,
parID_11,Ex15,,,,,,,,,1.848201439,3.169064749,4.552086173,4.272374259,3.666331252,1.226618705,,
parID_11,Ex16,,,,,,,,,1.335395802,1.23179868,2.806475018,4.044460511,2.122733773,3.091366907,4.557266345,
parID_12,Ex1,,,,,,,,,,,,,,,,
parID_12,Ex2,1.033333461,,,,,,,,,,,,,,,
parID_12,Ex3,1.066666762,1.137499969,,,,,,,,,,,,,,
parID_12,Ex4,1.104166667,1.083333493,1.087500095,,,,,,,,,,,,,
parID_12,Ex5,1.112500032,1.133333365,1.104166667,1.983333429,,,,,,,,,,,,
parID_12,Ex6,1.120833397,3.529166857,1.145833334,1.129166762,1.112500032,,,,,,,,,,,
parID_12,Ex7,1.091666699,1.104166667,1.133333365,1.07916673,1.091666699,1.137499969,,,,,,,,,,
parID_12,Ex8,1.120833397,1.116666794,1.075000128,1.087500096,1.104166667,1.10833327,1.125,,,,,,,,,
parID_12,Ex9,,,,,,,,,,,,,,,,
parID_12,Ex10,,,,,,,,,1.108333429,,,,,,,
parID_12,Ex11,,,,,,,,,1.129166762,1.14166673,,,,,,
parID_12,Ex12,,,,,,,,,1.112500032,1.150000095,1.100000064,,,,,
parID_12,Ex13,,,,,,,,,1.125,1.120833397,1.145833333,1.14166673,,,,
parID_12,Ex14,,,,,,,,,1.600000064,1.14166673,1.570833366,1.57916673,1.125,,,
parID_12,Ex15,,,,,,,,,1.129166762,1.133333365,1.633333365,1.14166673,1.112500032,1.125,,
parID_12,Ex16,,,,,,,,,1.095833302,1.070833365,1.108333429,1.616666794,1.145833333,1.100000064,1.14166673,
parID_13,Ex1,,,,,,,,,,,,,,,,
parID_13,Ex2,3.220833333,,,,,,,,,,,,,,,
parID_13,Ex3,4.391666667,3.958333334,,,,,,,,,,,,,,
parID_13,Ex4,3.5,3.508333334,2.995833334,,,,,,,,,,,,,
parID_13,Ex5,3.670833334,3.491666667,3.945833333,3.4375,,,,,,,,,,,,
parID_13,Ex6,2.983333334,5.275,3.775,3.429166667,3.35,,,,,,,,,,,
parID_13,Ex7,3.475,2.983333333,3.520833334,3.9625,3.483333334,3.5125,,,,,,,,,,
parID_13,Ex8,3.483333333,2.775,3.466666667,3.454166667,3.516666667,2.982174854,2.966666667,,,,,,,,,
parID_13,Ex9,,,,,,,,,,,,,,,,
parID_13,Ex10,,,,,,,,,4.420833334,,,,,,,
parID_13,Ex11,,,,,,,,,4.579166667,3.375,,,,,,
parID_13,Ex12,,,,,,,,,3.283333334,2.716666667,4.279166667,,,,,
parID_13,Ex13,,,,,,,,,4.2125,3.583333334,3.645833333,2.725,,,,
parID_13,Ex14,,,,,,,,,3.908333334,3.9375,4.233333334,4.220833334,4.0875,,,
parID_13,Ex15,,,,,,,,,3.620833333,3.120833334,4.4125,3.3625,3.029166667,4.511862836,,
parID_13,Ex16,,,,,,,,,2.4625,3.041666667,3.416666667,3.566666667,2.829166667,3.391666667,3.191666667,
parID_14,Ex1,,,,,,,,,,,,,,,,
parID_14,Ex2,1.495,,,,,,,,,,,,,,,
parID_14,Ex3,5.475,5.66,,,,,,,,,,,,,,
parID_14,Ex4,3.035,2.03,1.05,,,,,,,,,,,,,
parID_14,Ex5,2.48,1.545,2.44,2.475,,,,,,,,,,,,
parID_14,Ex6,3.52,4.5,7.495,3.015,1.53,,,,,,,,,,,
parID_14,Ex7,2.075,1.285,1.02,1.505,2.035,3.015,,,,,,,,,,
parID_14,Ex8,4.035,1.02,1.075,3.06,2.995,1.005,1.06,,,,,,,,,
parID_14,Ex9,,,,,,,,,,,,,,,,
parID_14,Ex10,,,,,,,,,1.035,,,,,,,
parID_14,Ex11,,,,,,,,,1.06,1.04,,,,,,
parID_14,Ex12,,,,,,,,,1.04,1.055,1.045,,,,,
parID_14,Ex13,,,,,,,,,1.975,1.03,1.04,1.055,,,,
parID_14,Ex14,,,,,,,,,1.51,2.49,1.195,1.075,1.085,,,
parID_14,Ex15,,,,,,,,,1.03,1.02,1.055,1.01,1.58,1.085,,
parID_14,Ex16,,,,,,,,,1.06,1.06,2.64,1.065,1.045,1.055,1.08,
parID_15,Ex1,,,,,,,,,,,,,,,,
parID_15,Ex2,3.48625,,,,,,,,,,,,,,,
parID_15,Ex3,4.6225,2.9125,,,,,,,,,,,,,,
parID_15,Ex4,2.74375,5.584375,3.01375,,,,,,,,,,,,,
parID_15,Ex5,2.72125,3.9025,3.79,5.66875,,,,,,,,,,,,
parID_15,Ex6,3.064375,6.92875,5.82625,7.598125,6.956875,,,,,,,,,,,
parID_15,Ex7,2.411875,4.6675,4.335625,3.908125,3.17125,4.020625,,,,,,,,,,
parID_15,Ex8,3.77875,4.645,3.21625,4.785625,5.055625,2.94625,3.475,,,,,,,,,
parID_15,Ex9,,,,,,,,,,,,,,,,
parID_15,Ex10,,,,,,,,,1.70875,,,,,,,
parID_15,Ex11,,,,,,,,,7.181875,1.916875,,,,,,
parID_15,Ex12,,,,,,,,,4.90375,1.748125,5.291875,,,,,
parID_15,Ex13,,,,,,,,,5.44375,5.21875,3.019375,2.02375,,,,
parID_15,Ex14,,,,,,,,,5.134375,2.040625,6.338125,7.08625,3.48625,,,
parID_15,Ex15,,,,,,,,,2.423125,4.99375,6.355,2.580625,4.076875,6.056875,,
parID_15,Ex16,,,,,,,,,3.424375,3.08125,1.97875,6.439375,2.1925,5.966875,1.9675,
parID_16,Ex1,,,,,,,,,,,,,,,,
parID_16,Ex2,1.181640625,,,,,,,,,,,,,,,
parID_16,Ex3,1.03515625,3.63671875,,,,,,,,,,,,,,
parID_16,Ex4,1.05859375,1.462890625,1.10546875,,,,,,,,,,,,,
parID_16,Ex5,1.029296875,1.08203125,3.630859375,2.5234375,,,,,,,,,,,,
parID_16,Ex6,1.462890625,1.966796875,2.4296875,1.462890625,2.107421875,,,,,,,,,,,
parID_16,Ex7,1.087890625,1.076171875,1.087890625,2.53515625,1.99609375,1.2109375,,,,,,,,,,
parID_16,Ex8,1.076171875,2.59375,3.537109375,1.158203125,1.111328125,1.591796875,1.2109375,,,,,,,,,
parID_16,Ex9,,,,,,,,,,,,,,,,
parID_16,Ex10,,,,,,,,,1.1171875,,,,,,,
parID_16,Ex11,,,,,,,,,5.18359375,1.064453125,,,,,,
parID_16,Ex12,,,,,,,,,2.53515625,1.046875,1.064453125,,,,,
parID_16,Ex13,,,,,,,,,3.677734375,1.08203125,1.08203125,1.0703125,,,,
parID_16,Ex14,,,,,,,,,1.087890625,1.1171875,1.099609375,1.1875,1.052734375,,,
parID_16,Ex15,,,,,,,,,1.251953125,1.076171875,5.51171875,1.05859375,1.0703125,1.08203125,,
parID_16,Ex16,,,,,,,,,1.1171875,1.205078125,1.08203125,1.0703125,1.041015625,1.12890625,1.03515625,
